Season,Name,Age,Hometown,Occupation,Outcome
6,Brad Womack,12,"January 3, 2011(2011-01-03)","March 14, 2011(2011-03-14)",35
6,Ben Flajnik,12,"January 2, 2012(2012-01-02)","March 12, 2012(2012-03-12)",49
6,Sean Lowe,13,"January 7, 2013(2013-01-07)","March 11, 2013(2013-03-11)",41
6,Juan Pablo Galavis,12,"January 6, 2014(2014-01-06)","March 10, 2014(2014-03-10)",32
6,Chris Soules,13,"January 5, 2015(2015-01-05)","March 9, 2015(2015-03-09)",46
6,Ben Higgins,12,"January 4, 2016(2016-01-04)","March 14, 2016(2016-03-14)",41
6,Nick Viall,13,"January 2, 2017(2017-01-02)","March 13, 2017(2017-03-13)",33
6,Arie Luyendyk Jr.,12,"January 1, 2018(2018-01-01)","March 6, 2018(2018-03-06)",47
6,Colton Underwood,12,"January 7, 2019(2019-01-07)","March 12, 2019(2019-03-12)",47
6,Peter Weber,12,"January 6, 2020(2020-01-06)","March 10, 2020(2020-03-10)",35
6,Matt James,12,"January 4, 2021(2021-01-04)","March 15, 2021(2021-03-15)",37
6,Clayton Echard,12,"January 3, 2022(2022-01-03)","March 15, 2022(2022-03-15)",53
6,Zach Shallcross,11,"January 23, 2023(2023-01-23)","March 27, 2023(2023-03-27)",63
6,Joey Graziadei,11,"January 22, 2024(2024-01-22)","March 25, 2024(2024-03-25)",TBA
6,Grant Ellis,TBA,"January 27, 2025(2025-01-27)",TBA,TBA
7,Alex Michel,7,"March 25, 2002(2002-03-25)","April 25, 2002(2002-04-25)",—
7,Aaron Buerge,9,"September 25, 2002(2002-09-25)","November 20, 2002(2002-11-20)",—
7,Andrew Firestone,10,"March 26, 2003(2003-03-26)","May 21, 2003(2003-05-21)",—
7,Bob Guiney,10,"September 24, 2003(2003-09-24)","November 20, 2003(2003-11-20)",—
7,Jesse Palmer,9,"April 7, 2004(2004-04-07)","May 26, 2004(2004-05-26)",—
7,Byron Velvick,10,"September 22, 2004(2004-09-22)","November 24, 2004(2004-11-24)",—
7,Charlie O'Connell,8,"March 28, 2005(2005-03-28)","May 16, 2005(2005-05-16)",—
7,Travis Lane Stork,8,"January 9, 2006(2006-01-09)","February 27, 2006(2006-02-27)",57
7,Lorenzo Borghese,8,"October 2, 2006(2006-10-02)","November 27, 2006(2006-11-27)",83
7,Andrew Baldwin,9,"April 7, 2007(2007-04-07)","May 22, 2007(2007-05-22)",52
7,Brad Womack,10,"September 24, 2007(2007-09-24)","November 20, 2007(2007-11-20)",49
7,Matt Grant,9,"March 17, 2008(2008-03-17)","May 12, 2008(2008-05-12)",85
7,Jason Mesnick,11,"January 5, 2009(2009-01-05)","March 3, 2009(2009-03-03)",24
7,Jake Pavelka,10,"January 4, 2010(2010-01-04)","March 1, 2010(2010-03-01)",23
7,Brad Womack,12,"January 3, 2011(2011-01-03)","March 14, 2011(2011-03-14)",35
7,Ben Flajnik,12,"January 2, 2012(2012-01-02)","March 12, 2012(2012-03-12)",49
7,Sean Lowe,13,"January 7, 2013(2013-01-07)","March 11, 2013(2013-03-11)",41
7,Juan Pablo Galavis,12,"January 6, 2014(2014-01-06)","March 10, 2014(2014-03-10)",32
7,Chris Soules,13,"January 5, 2015(2015-01-05)","March 9, 2015(2015-03-09)",46
7,Ben Higgins,12,"January 4, 2016(2016-01-04)","March 14, 2016(2016-03-14)",41
7,Nick Viall,13,"January 2, 2017(2017-01-02)","March 13, 2017(2017-03-13)",33
7,Arie Luyendyk Jr.,12,"January 1, 2018(2018-01-01)","March 6, 2018(2018-03-06)",47
7,Colton Underwood,12,"January 7, 2019(2019-01-07)","March 12, 2019(2019-03-12)",47
7,Peter Weber,12,"January 6, 2020(2020-01-06)","March 10, 2020(2020-03-10)",35
7,Matt James,12,"January 4, 2021(2021-01-04)","March 15, 2021(2021-03-15)",37
7,Clayton Echard,12,"January 3, 2022(2022-01-03)","March 15, 2022(2022-03-15)",53
7,Zach Shallcross,11,"January 23, 2023(2023-01-23)","March 27, 2023(2023-03-27)",63
7,Joey Graziadei,11,"January 22, 2024(2024-01-22)","March 25, 2024(2024-03-25)",TBA
