Season,Name,Age,Hometown,Occupation,Outcome
22,Krystal Nielson[25],29,"Missoula, Montana",Fitness Coach,10
22,Ashley Luebke[6],25,"West Palm Beach, Florida",Real Estate Agent,Week 5
22,Brittany Taylor[29],30,"Belton, South Carolina",Tech Recruiter,Week 4
22,Bibiana Julian[12][6],30,"Miami, Florida",Executive Assistant,Week 3
22,Annaliese Puccini[33],32,"San Mateo, California",Event Designer,17
22,Lauren Schleyer[11],31,"Dallas, Texas",Social Media Manager,18
22,"Jennifer ""Jenny"" Delaney[34]",25,"Northbrook, Illinois",Graphic Designer,Week 2
22,"Alison ""Ali"" Harrington[11]",27,"Lawton, Oklahoma",Personal Stylist,Week 1
23,Cassie Randolph[14],23,"Huntington Beach, California",Speech Pathologist,Winner
23,Hannah Godwin[16],23,"Birmingham, Alabama",Content Creator,Week 9
23,Tayshia Adams[18],28,"Santa Ana, California",Phlebotomist,3
23,Caelynn Miller-Keyes[20],23,"Fredericksburg, Virginia",Miss North Carolina USA2018,Week 8
23,Kirpa Sudick[22],26,"Whittier, California",Dental Hygienist,Week 7
23,Heather Martin[24],23,"Carlsbad, California",Assistant Program Manager,6 (quit)
23,Hannah Brown[16],24,"Northport, Alabama",Miss Alabama USA2018,7
23,Katie Morton[25],26,"Oviedo, Florida",Medical Sales Representative,Week 6
23,Demi Burnett[27],23,"Red Oak, Texas",Interior Designer,9
23,Sydney Lotuaco[22],27,"Virginia Beach, Virginia",NBA Dancer,10 (quit)
23,Nicole Lopez-Alvar[28],25,"Miami, Florida",Social Media Coordinator,Week 5
23,Elyse Dehlbom[29],31,"Soldotna, Alaska",Makeup Artist,13 (quit)
23,Courtney Curtis[22],23,"McDonough, Georgia",Caterer,Week 4
23,"Brianna ""Bri"" Barnes[33]",24,"Chino Hills, California",Model,Week 3
23,Caitlin Clemmens[35],25,"Toronto, Ontario",Realtor,19
23,Alex Blumberg[22],29,"Vancouver, British Columbia",Dog Rescuer,Week 2
23,Alex Dillon[38],23,"Dennis, Massachusetts",Sloth,Week 1
24,Hannah Ann Sluss[22],23,"Powell, Tennessee",Model,Winner
24,Madison Prewett[14][23],23,"Auburn, Alabama",Foster Parent Recruiter,Runner-up
24,Victoria Fuller[25],26,"Virginia Beach, Virginia",Medical Sales Rep,Week 9
24,Kelsey Weier[12],28,"Urbandale, Iowa",Professional Clothier,Week 8
24,Kelley Flanagan[27],27,"North Barrington, Illinois",Attorney,Week 7
24,Natasha Parker[29],31,"Manhattan, New York",Event Planner,6
24,Mykenna Dorn[30],22,"Langley, British Columbia",Fashion Blogger,Week 6
24,Tammy Ly[33],24,"Syracuse, New York",House Flipper,9
24,Victoria Paul[11][34],27,"Alexandria, Louisiana",Nurse,10
24,Lexi Buchanan[35],26,"Jacksonville, Florida",Marketing Coordinator,Week 5
24,Deandra Kanu[37],23,"Bar Harbor, Maine",Home Care Coordinator,Week 4
24,Alayah Benavidez[10],24,"Helotes, Texas",Orthodontist Assistant,16
24,Alayah Benavidez,(Returned to competition),Week 3,,[18]
24,Alexa Caves[27],27,"Springfield, Illinois",Esthetician,17–19
24,Courtney Perry[39],26,"Venice, Florida",Cosmetologist,Week 2
24,Avonlea Elkins[10],27,"Fort Worth, Texas",Cattle Rancher,Week 1
25,Rachael Kirkconnell[17],24,"Cumming, Georgia",Graphic Designer,Week 1
25,Michelle Young[19][20],27,"Woodbury, Minnesota",Teacher,Week 3
25,"Brianna ""Bri"" Springs[21][22]",24,"San Antonio, Texas",Communications Manager,Week 1
25,Serena Pitt[24][25],23,"Markham, Ontario",Publicist,Week 8
25,Pieper James[27],23,"Happy Valley, Oregon",Graduate Student,Week 7
25,Jessenia Cruz[22],27,"El Paso, Texas",Social Media Marketer,6
25,Kit Keenan[6],21,"Manhattan, New York",Fashion Entrepreneur,7 (quit)
25,Abigail Heringer[8][27],25,"Salem, Oregon",Client Financial Manager,8
25,Chelsea Vaughn[28],28,"Marietta, Georgia",Runway Model,Week 6
25,Katie Thurston[24][30],29,"Lynnwood, Washington",Bank Marketing Manager,11
25,Brittany Galvin[20][31],23,"Hinsdale, Illinois",Model,Week 3
25,"Mearg ""Magi"" Tareke[32]",32,"Adwa, Ethiopia[b]",Pharmacist,Week 1
25,Ryan Claytor[20],26,"Mechanicsville, Virginia",Dancer/Choreographer,Week 3
25,"Meredith ""MJ"" Snyder[33]",23,"Hudson, Ohio",Hairstylist,Week 1
25,Catalina Morales[34],29,"Caguas, Puerto Rico[c]",FormerMiss Universe Puerto Rico,Week 3
25,Lauren Maddox[36],29,"Miami, Florida",Corporate Attorney,Week 1
25,Anna Redman[39][40],24,"Owatonna, Minnesota",Copywriter,20
25,Kaili Anderson[40],26,"San Diego, California",Hostess,Week 3
25,"Kimberly ""Kim"" Li[20]",28,"Cypress, California",ICU Nurse,Week 3
25,Sarah Trott[42],24,"Scripps Ranch, California",Broadcast Journalist,Week 1
25,Alana Milne[22],26,"San Antonio, Texas",Photographer,Week 2
25,Alicia Holloway[46],24,"Morgantown, West Virginia",Professional Ballerina,Week 1
26,Susie Evans[27][28],28,"Poquoson, Virginia",Wedding Videographer,Winner
26,"Gabriela ""Gabby"" Windey[16][30]",30,"O'Fallon, Illinois",ICU Nurse,Runner-Up(Week 10)
26,Susie Evans,(Returned to competition),Week 9,[a],[32]
26,Serene Russell[33],26,"Oklahoma City, Oklahoma",Elementary School Teacher,Week 8
26,Teddi Wright[31][35],24,"Redlands, California",Surgical Unit Nurse,Week 7
26,Sarah Hamrick[14][36],23,"Spartanburg, South Carolina",Wealth Management Advisor,6
26,Genevieve Parisi[37][38],26,"Rehoboth, Massachusetts",Bartender,7
26,Eliza Isichei[39],25,"Tampa, Florida[b]",Marketing Manager,Week 6
26,Hunter Haag[42],28,"Lake Wylie, South Carolina",Human Resources Specialist,Week 5
26,Shanae Ankney[44],29,"Sycamore, Ohio",Recruiter,12
26,"Jillian ""Jill"" Chin[37]",26,"Scituate, Rhode Island",Architectural Historian,Week 4
26,Elizabeth Corrigan[47],32,"Highlands Ranch, Colorado",Real Estate Advisor,Week 3
26,Ency Abedin[48],28,"Burbank, California",Sales Manager,Week 2
26,Cassidy Timbrooks[49],26,"Cave Creek, Arizona",Executive Recruiter,22
26,Daria Rose[50][51],24,"Baldwin, New York",Law Student,Week 1
26,Samantha Jeffries[51],26,"Dayton, Ohio",Occupational Therapist,29 (quit)
26,Claire Heilig[27][51],28,"Virginia Beach, Virginia",Spray Tanner,30
27,"Kaitlyn ""Kaity"" Biggar[21]",27,"Kingston, Ontario",Travel Nurse,Winner
27,"Gabriella ""Gabi"" Elnicki[23]",25,"Pittsford, Vermont",Senior Account Executive,Runner-Up
27,Ariel Frenkel[10][24],28,"Manhattan, New York",Marketing Executive,Week 9
27,Charity Lawson[26],26,"Columbus, Georgia",Child and Family Therapist,Week 8
27,Katherine Izzo[28],26,"Tampa, Florida",Registered Nurse,Week 7
27,Brooklyn Willie[6][30],25,"Mineola, Texas",Rodeo Racer,6
27,Greer Blitzer[31],24,"Bellaire, Texas",Medical Sales Representative,7
27,"Alyssa ""Aly"" Jacobs[32][33]",26,"Smyrna, Georgia",Healthcare Strategist,Week 6
27,"Jessica ""Jess"" Girod[33]",23,"Winter Springs, Florida",E-Commerce Coordinator,9
27,Kylee Russell[35][36],25,"Charlotte, North Carolina",Postpartum Nurse,Week 5
27,Davia Bunch[8],25,"Roebuck, South Carolina",Marketing Manager,Week 4
27,Anastasia Keramidas[39],30,"Baltimore, Maryland",Content Marketing Manager,14
27,Christina Mandrell[6][7],26,"Hendersonville, Tennessee",Content Creator,Week 3
27,Brianna Thorbourne[6][41],24,"Jersey City, New Jersey",Entrepreneur,16 (quit)
27,Bailey Brown[6][42],27,"Brentwood, Tennessee",Executive Recruiter,17
27,"Catherine ""Cat"" Wong[6][8]",26,"Bushwick, New York",Professional Dancer,Week 2
27,Becca Serrano[43],25,"Burbank, California",Nursing Student,Week 1
27,Madison Johnson[52],26,"Fargo, North Dakota",Business Owner,30
28,Kelsey Anderson[18],25,"Leesville, Louisiana",Junior Project Manager,Winner
28,Daisy Kent[20][21],25,"Becker, Minnesota",Account Executive,Week 10
28,Rachel Nance[22],26,"Honolulu, Hawaii",ICU Nurse,Week 9
28,Maria Georgas[8][24],29,"Kleinburg, Ontario",Executive Assistant,Week 8
28,"Jennifer ""Jenn"" Tran[26][27]",25,"Hillsdale, New Jersey",PAStudent,Week 7
28,Katelyn DeBacker[30],26,"Santa Fe, New Mexico",Radiochemist,Week 6
28,Lexi Young[31],30,"Pataskala, Ohio",Digital Strategist,9 (quit)
28,"Jessica ""Jess"" Edwards[32]",24,"Erwin, Tennessee",Executive Assistant,10
28,Autumn Waggoner[33],26,"De Soto, Missouri",Account Executive,Week 5
28,Allison Hollinger[a][36],26,"Dover, Delaware",Realtor,Week 4
28,Sydney Gordon[38],28,"Newport, Rhode Island",Vintage Store Owner,15
28,Chrissa Perez[24][40],26,"Abbotsford, British Columbia",Marketing Director,Week 3
28,Erika Cardenas[42],25,"North Bergen, New Jersey",Leasing Agent,Week 2
28,Lauren Hollinger[a][36],28,"Dover, Delaware",Registered Nurse,22 (quit)
28,Chandler Dewgard[44],24,"Brooklyn, New York",Graphic Designer,Week 1
